2675$,JH4CU2F67EC004009,2014 Acura Tsx Tech Pkg,#34565029,IAAI,США,Ga - Macon,Insurance company,A / 101,2023-05-22,00:00:00,Ga - Bill Of Sale Parts Only,Collision,Rear,Left Rear,Run and drive,110268 mi / actual,14753$,14527$,Automobile,2014,Acura,Tsx Tech Pkg,Black,Sedan 4 Dr.,Front Wheel Drive,Gasoline,2.4 L 4 cyl,Automatic
1775$,19VDE1F35EE001081,2014 Acura Ilx,#36420527,IAAI,США,Ca - San Diego,Insurance company,-,2023-05-15,16:30:00,Ca - Salvage Certificate,Collision,Front End,Unknown,Run and drive,1 mi / inoperable digital dash,12920$,0$,Automobile,2014,Acura,Ilx,Black,Sedan,Front Wheel Drive,Gasoline,2.0 L 4 cyl,Automatic
3050$,JH4CU2F6XEC001444,2014 Acura Tsx Tech,#50821163,Copart,США,Va - Danville,Third party,A / 6,2023-05-19,14:00:00,Va - Cert Of Title - Salvage,Hail,Hail,-,Run and drive,173021 mi / actual,10030$,0$,Automobile,2014,Acura,Tsx Tech,White,-,Front-wheel Drive,Gas,2.4 L 4 cyl,Automatic
2575$,19VDE1F30EE000713,2014 Acura Ilx,#36211227,IAAI,США,Ma - Templeton,Insurance company,-,2023-05-15,00:34:00,Ma - Salvage Repairable-collision,Collision,Left Rear,Left Side,Run and drive,53512 mi / actual,16898$,0$,Automobile,2014,Acura,Ilx,Black,Sedan,Front Wheel Drive,Gasoline,2.0 L 4 cyl,Automatic
2850$,5FRYD4H41EB025762,2014 Acura Mdx Technology,#47947603,Copart,США,Ca - Rancho Cucamonga,Insurance company,-,2023-05-18,19:00:00,Ca - Salvage Certificate,Collision,Front End,-,Run and drive,89921 mi / actual,21628$,20161$,Automobile,2014,Acura,Mdx Technology,Black,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
975$,19UUA9F5XEA002783,2014 Acura Tl Tech,#36478989,IAAI,США,Mi - Grand Rapids,Insurance company,B / 81,2023-05-22,13:30:00,Mi - Salvage,Other,Front End,-,Run and drive,183116 mi / actual,10769$,7277$,Automobile,2014,Acura,Tl Tech,Dark Blue,Sedan 4 Dr.,All Wheel Drive,Gasoline,3.7 L 6 cyl,Automatic
2675$,19VDE1F54EE009223,2014 Acura Ilx Premium Pkg,#36394031,IAAI,США,Nj - Englishtown,Insurance company,A / 54,2023-05-22,13:30:00,Nj - Salvage,Collision,Front End,Left & Right Side,Run and drive,88076 mi / actual,14975$,12798$,Automobile,2014,Acura,Ilx Premium Pkg,Red,Sedan,Front Wheel Drive,Gasoline,2.0 L 4 cyl,Automatic
425$,19UUA8F53EA008466,2014 Acura Tl Tech,#37952503,Copart,США,Ma - North Boston,Insurance company,A / 177,2023-05-19,14:00:00,Ma - Cert Of Title-parts Only Salva,Collision,Side,Minor Dent/scratches,Run and drive,161372 mi / actual,12215$,9986$,Automobile,2014,Acura,Tl Tech,White,-,Front-wheel Drive,Gas,3.5 L 6 cyl,Automatic
125$,5J8TB4H55EL003904,2014 Acura Rdx Technology,#50099943,Copart,США,Ma - South Boston,Insurance company,A / 111,2023-05-22,14:00:00,Ma - Cert Of Title-salvage,Collision,Front End,-,Run and drive,143122 mi / actual,12572$,9296$,Automobile,2014,Acura,Rdx Technology,Black,4dr Spor,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
4000$,19UUA8F39EA004422,2014 Acura Tl Se,#50365843,Copart,США,Pa - York Haven,Insurance company,A / 26,2023-05-22,14:00:00,Pa - Certificate Of Salvage,Other,Front End,-,Run and drive,88545 mi / actual,15655$,13545$,Automobile,2014,Acura,Tl Se,Silver,-,Front-wheel Drive,Gas,3.5 L 6 cyl,Automatic
5800$,19VDE3F73EE300194,2014 Acura Ilx Hybrid Tech,#37397473,Copart,США,Mi - Ionia,Insurance company,D / 4012,2023-05-19,14:00:00,In - Certificate Of Title,Other,Side,Front End,Run and drive,111511 mi / actual,13992$,0$,Automobile,2014,Acura,Ilx Hybrid Tech,Brown,Sedan 4d,Front-wheel Drive,Hybrid Engine,1.5 L 4 cyl,Ecvt Automatic
775$,5FRYD4H42EB506717,2014 Acura Mdx Nav Pkg,#11738728,IAAI CA,Канада,On - Toronto (oshawa),-,2 / 2504,2023-05-19,13:00:00,On - Salvage,Collision,Roll Over,Possible Mech.,Stationary,161946 km / actual,17985$,36956$,Light Truck,2014,Acura,Mdx Nav Pkg,White,-,-,-,3.5 L 6 cyl,Auto
0$,5FRYD4H20EB028831,2014 Acura Mdx,#50527793,Copart,США,Fl - Orlando North,Insurance company,-,2023-06-05,14:00:00,Fl - Cert Of Title Slvg Rebuildable,Other,Top/roof,-,Run and drive,74169 mi / actual,17674$,13989$,Automobile,2014,Acura,Mdx,Charcoal,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
6500$,5FRYD4H2XEB004472,2014 Acura Mdx,#50686903,Copart,США,Ca - San Diego,Third party,-,2023-05-20,00:00:00,Ca - Dis/dlr/exp Only Clean Title (p),Cds Vehicle,Side,Front End,Run and drive,164198 mi / actual,0$,0$,Automobile,2014,Acura,Mdx,White,4dr Spor,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
4975$,19VDE1F31EE013177,2014 Acura Ilx,#36584957,IAAI,США,Ca - San Diego,Insurance company,B / 243,2023-05-22,16:30:00,Ca - Salvage Certificate,Collision,Left Front,Right Front,Run and drive,110985 mi / not actual,13543$,0$,Automobile,2014,Acura,Ilx,White,Sedan,Front Wheel Drive,Gasoline,2.0 L 4 cyl,Automatic
2900$,5FRYD4H4XEB042415,2014 Acura Mdx Technology,#41353443,Copart,США,Nc - Raleigh,Insurance company,B / 2572,2023-05-18,14:00:00,Nc - Salvage Certificate Of Title,Collision,Front End,-,Engine starts,78210 mi / actual,18631$,12510$,Automobile,2014,Acura,Mdx Technology,Charcoal,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
1100$,19VDE1F73EE008985,2014 Acura Ilx 20 Tech,#45507833,Copart,США,Nc - Mocksville,Insurance company,A / 1108,2023-05-17,14:00:00,Nc - Salvage Certificate Of Title,Collision,All Over,Undercarriage,Stationary,0 mi / not actual,10014$,15216$,Automobile,2014,Acura,Ilx 20 Tech,Maroon,-,Front-wheel Drive,Gas,2.0 L 4 cyl,Automatic
3550$,5FRYD3H69EB010793,2014 Acura Mdx Technology,#45414143,Copart,США,Al - Tanner,Insurance company,C / 3141,2023-05-17,17:00:00,Al - Cert Of Title-salvage Title,Property Damage,Front End,-,Run and drive,129190 mi / actual,15711$,8490$,Automobile,2014,Acura,Mdx Technology,Burgundy,-,Front-wheel Drive,Gas,3.5 L 6 cyl,-
650$,19UUA8F54EA000103,2014 Acura Tl Tech,#36135848,IAAI,США,Nc - Raleigh,Insurance company,C / 212,2023-05-17,13:30:00,Nc - Salvage Rebuilt,Collision,Front & Rear,Right Side,Stationary,109117 mi / actual,14661$,12816$,Automobile,2014,Acura,Tl Tech,White,Sedan 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
